ResultID,RaceID,DriverID,TeamID,Pos,Points,Standings,LapTime
1719,88,16,MCL,6,8,Finished,+31.372
1720,88,23,AT,7,6,Finished,+42.056
1721,88,19,MCL,8,4,Finished,+44.943
1722,88,30,AT,9,2,Finished,+50.452
1723,88,11,MER,10,1,Finished,+50.753
1724,88,17,RBR,11,0,Finished,+51.531
1725,88,50,HAS,12,0,Finished,+57.085
1726,88,18,SAU,13,0,Finished,+63.588
1727,88,25,AMR,14,0,Finished,+78.049
1728,88,27,SAU,15,0,Finished,+79.649
1729,88,21,FER,NULL,0,DNF,NULL
1730,88,43,WIL,NULL,0,DNF,NULL
1731,88,1,WIL,NULL,0,DNS,NULL
1732,88,26,AMR,NULL,0,DNS,NULL
1733,88,13,HAS,NULL,0,DSQ,NULL
1734,89,22,MER,1,25,Finished,01:22:05.969
1735,89,11,MER,2,18,Finished,+7.313
1736,89,21,FER,3,15,Finished,+11.906
1737,89,12,FER,4,12,Finished,+14.283
1738,89,10,RBR,5,10,Finished,+16.582
1739,89,16,MCL,6,9,Finished,+43.385
1740,89,19,MCL,7,6,Finished,+51.365
1741,89,13,HAS,8,4,Finished,+59.808
1742,89,23,AT,9,2,Finished,+62.808
1743,89,17,RBR,10,1,Finished,+63.114
1744,89,25,AMR,11,0,Finished,+69.195
1745,89,15,HAS,12,0,Finished,+69.803
1746,89,27,SAU,13,0,Finished,+74.085
1747,89,43,WIL,14,0,Finished,+75.172
1748,89,26,AMR,15,0,Finished,+84.102
1749,89,30,AT,16,0,Finished,+91.005
1750,89,24,ALP,17,0,Finished,+1 Lap
1751,89,18,SAU,18,0,Finished,+1 Lap
1752,89,1,WIL,NULL,0,DNF,NULL
1753,89,8,ALP,NULL,0,DNF,NULL
1754,90,10,RBR,1,25,Finished,01:31:05.323
1755,90,12,FER,2,18,Finished,+6.031
1756,90,19,MCL,3,15,Finished,+6.819
1757,90,22,MER,4,12,Finished,+14.104
1758,90,8,ALP,5,10,Finished,+16.782
1759,90,21,FER,6,8,Finished,+17.476
1760,90,25,AMR,7,6,Finished,+19.867
1761,90,27,SAU,8,4,Finished,+25.360
1762,90,15,HAS,9,2,Finished,+32.177
1763,90,16,MCL,10,2,Finished,+35.762
1764,90,18,SAU,11,0,Finished,+50.243
1765,90,11,MER,12,0,Finished,+56.122
1766,90,23,AT,13,0,Finished,+61.100
1767,90,30,AT,14,0,Finished,+62.656
1768,90,1,WIL,15,0,Finished,+1 Lap
1769,90,13,HAS,NULL,0,DNF,NULL
1770,90,17,RBR,NULL,0,DNF,NULL
1771,90,26,AMR,NULL,0,DNF,NULL
1772,90,43,WIL,NULL,0,DNF,NULL
1773,90,24,ALP,NULL,0,DNF,NULL
1774,91,16,MCL,1,25,Finished,01:26:33.291
1775,91,21,FER,2,18,Finished,+5.832
1776,91,12,FER,3,15,Finished,+31.928
1777,91,11,MER,4,12,Finished,+36.483
1778,91,22,MER,5,10,Finished,+37.538
1779,91,10,RBR,6,8,Finished,+49.847
1780,91,8,ALP,7,6,Finished,+72.560
1781,91,13,HAS,8,4,Finished,+75.554
1782,91,25,AMR,9,2,Finished,+82.373
1783,91,19,MCL,10,1,Finished,+83.821
1784,91,1,WIL,11,0,Finished,+1 Lap
1785,91,23,AT,12,0,Finished,+1 Lap
